加放油控制器测试脚本,,,,,,,,,,,,,
测试编号,测试项,测试步骤,输入信号,输出信号,输入单位,判据类型,判据单位,输入值,判据参数,输出值,测试结果,,
FC1,电源阻抗测试,"组件下电。
a)	测量J3和J4之间的阻抗并记录；（外部28V对地）
b)	测量J14和J24之间的阻抗并记录；（内部28对地）
c)	测量J3和J5之间的阻抗并记录；（外部28V对壳体）
d)	测量J14和J5之间的阻抗并记录。（内部28对壳体）",--,J3-J4 阻抗,--,GT,Ω,--,500,,,,
,,,--,J14-J24 阻抗,--,GT,Ω,--,500,,,,
,,,--,J3-J5 阻抗,--,GT,Ω,--,500,,,,
,,,--,J14-J5 阻抗,--,GT,Ω,--,500,,,,
FC2,二次电源测试,组件POWER_IN供电使用直流电压档测量CRM_PIN1对CRM_PIN18之间的电压值VDC1_18并记录。,POWER_IN,VDC1_18,V,RANGE,V,18,"4.5,5.5",,,,
FC3,低电压告警功能测试,组件POWER_IN上电，供电电压从17V开始，以0.2V的梯度减小，同时监测CRM_PIN3的电平状态，记录CRM_PIN3电平翻转时的供电电压。,--,CRM_PIN3,--,GE,V,--,15,,,,
FC4,温度采集功能,组件POWER_IN供电，按照DS18B20U+T&R规格书解析CRM_PIN7的信号并记录。,POWER_IN,CRM_PIN7,V,RANGE,℃,18,"15,45",,,,
FC5,离散量采集功能测试,"组件POWER_IN供电。
30J连接器中的开关信号DO_VDC提供[0，2V]电压输入时，采集通道结果Bank0[0:6]，Bank1[0:6]；
",POWER_IN,Bank0[0],V,EQ,BOOL,18,1,,,,
,,,,Bank0[1],,EQ,BOOL,,1,,,,
,,,,Bank0[2],,EQ,BOOL,,1,,,,
,,,,Bank0[3],,EQ,BOOL,,1,,,,
,,,,Bank0[4],,EQ,BOOL,,1,,,,
,,,,Bank0[5],,EQ,BOOL,,1,,,,
,,,,Bank0[6],,EQ,BOOL,,1,,,,
,,,,Bank1[0],,EQ,BOOL,,1,,,,
,,,,Bank1[1],,EQ,BOOL,,1,,,,
,,,,Bank1[2],,EQ,BOOL,,1,,,,
,,,,Bank1[3],,EQ,BOOL,,1,,,,
,,,,Bank1[4],,EQ,BOOL,,1,,,,
,,,,Bank1[5],,EQ,BOOL,,1,,,,
,,,,Bank1[6],,EQ,BOOL,,1,,,,
,,"组件POWER_IN供电。
J30J连接器中的开关信号DO_VDC置为开路时，采集通道结果Bank0[0:6]，Bank1[0:6]。
",,Bank0[0],,EQ,BOOL,,0,,,,
,,,,Bank0[1],,EQ,BOOL,,0,,,,
,,,,Bank0[2],,EQ,BOOL,,0,,,,
,,,,Bank0[3],,EQ,BOOL,,0,,,,
,,,,Bank0[4],,EQ,BOOL,,0,,,,
,,,,Bank0[5],,EQ,BOOL,,0,,,,
,,,,Bank0[6],,EQ,BOOL,,0,,,,
,,,,Bank1[0],,EQ,BOOL,,0,,,,
,,,,Bank1[1],,EQ,BOOL,,0,,,,
,,,,Bank1[2],,EQ,BOOL,,0,,,,
,,,,Bank1[3],,EQ,BOOL,,0,,,,
,,,,Bank1[4],,EQ,BOOL,,0,,,,
,,,,Bank1[5],,EQ,BOOL,,0,,,,
,,,,Bank1[6],,EQ,BOOL,,0,,,,
FC6,离散量输出功能测试,组件下电，J30J连接器中的开关信号DO_VDC，提供[0，2V]电压输入时，测量J6~J13接口的对地阻抗；,--,J6 对地阻抗,--,LT,Ω,--,10,,,,
,,,,J7 对地阻抗,,LT,Ω,,10,,,,
,,,,J8 对地阻抗,,LT,Ω,,10,,,,
,,,,J9 对地阻抗,,LT,Ω,,10,,,,
,,,,J10 对地阻抗,,LT,Ω,,10,,,,
,,,,J11 对地阻抗,,LT,Ω,,10,,,,
,,,,J12 对地阻抗,,LT,Ω,,10,,,,
